 4| Вершина |  BFS-номер |           Вміст черги        |
--|---------|------------|------------------------------|
  |     4   |        1   | 4  
  |     2   |        2   | 4 2  
  |    10   |        3   | 4 2 10  
  |    17   |        4   | 4 2 10 17  
  |    18   |        5   | 4 2 10 17 18  
  |  ----   |     ----   | 2 10 17 18  
  |     6   |        6   | 2 10 17 18 6  
  |     9   |        7   | 2 10 17 18 6 9  
  |    11   |        8   | 2 10 17 18 6 9 11  
  |  ----   |     ----   | 10 17 18 6 9 11  
  |     1   |        9   | 10 17 18 6 9 11 1  
  |     5   |       10   | 10 17 18 6 9 11 1 5  
  |     8   |       11   | 10 17 18 6 9 11 1 5 8  
  |    13   |       12   | 10 17 18 6 9 11 1 5 8 13  
  |  ----   |     ----   | 17 18 6 9 11 1 5 8 13  
  |     7   |       13   | 17 18 6 9 11 1 5 8 13 7  
  |  ----   |     ----   | 18 6 9 11 1 5 8 13 7  
  |    14   |       14   | 18 6 9 11 1 5 8 13 7 14  
  |    19   |       15   | 18 6 9 11 1 5 8 13 7 14 19  
  |  ----   |     ----   | 6 9 11 1 5 8 13 7 14 19  
  |     3   |       16   | 6 9 11 1 5 8 13 7 14 19 3  
  |    15   |       17   | 6 9 11 1 5 8 13 7 14 19 3 15  
  |    16   |       18   | 6 9 11 1 5 8 13 7 14 19 3 15 16  
  |  ----   |     ----   | 9 11 1 5 8 13 7 14 19 3 15 16  
  |  ----   |     ----   | 11 1 5 8 13 7 14 19 3 15 16  
  |    12   |       19   | 11 1 5 8 13 7 14 19 3 15 16 12  
  |  ----   |     ----   | 1 5 8 13 7 14 19 3 15 16 12  
  |    20   |       20   | 1 5 8 13 7 14 19 3 15 16 12 20  
  |  ----   |     ----   | 5 8 13 7 14 19 3 15 16 12 20  
  |  ----   |     ----   | 8 13 7 14 19 3 15 16 12 20  
  |  ----   |     ----   | 13 7 14 19 3 15 16 12 20  
  |  ----   |     ----   | 7 14 19 3 15 16 12 20  
  |  ----   |     ----   | 14 19 3 15 16 12 20  
  |  ----   |     ----   | 19 3 15 16 12 20  
  |  ----   |     ----   | 3 15 16 12 20  
  |  ----   |     ----   | 15 16 12 20  
  |  ----   |     ----   | 16 12 20  
  |  ----   |     ----   | 12 20  
  |  ----   |     ----   | 20  

 4| Вершина |  DFS-номер |           Вміст стеку        |
--|---------|------------|------------------------------|
  |     4   |        1   |  4  
  |     2   |        2   |  4 2  
  |     6   |        3   |  4 2 6  
  |     3   |        4   |  4 2 6 3  
  |     8   |        5   |  4 2 6 3 8  
  |     7   |        6   |  4 2 6 3 8 7  
  |    13   |        7   |  4 2 6 3 8 7 13  
  |     9   |        8   |  4 2 6 3 8 7 13 9  
  |     5   |        9   |  4 2 6 3 8 7 13 9 5  
  |     1   |       10   |  4 2 6 3 8 7 13 9 5 1  
  |    10   |       11   |  4 2 6 3 8 7 13 9 5 1 10  
  |    11   |       12   |  4 2 6 3 8 7 13 9 5 1 10 11  
  |    12   |       13   |  4 2 6 3 8 7 13 9 5 1 10 11 12  
  |    14   |       14   |  4 2 6 3 8 7 13 9 5 1 10 11 12 14  
  |    18   |       15   |  4 2 6 3 8 7 13 9 5 1 10 11 12 14 18  
  |    19   |       16   |  4 2 6 3 8 7 13 9 5 1 10 11 12 14 18 19  
  |    15   |       17   |  4 2 6 3 8 7 13 9 5 1 10 11 12 14 18 19 15  
  |  ----   |     ----   |  4 2 6 3 8 7 13 9 5 1 10 11 12 14 18 19  
  |    16   |       18   |  4 2 6 3 8 7 13 9 5 1 10 11 12 14 18 19 16  
  |    20   |       19   |  4 2 6 3 8 7 13 9 5 1 10 11 12 14 18 19 16 20  
  |  ----   |     ----   |  4 2 6 3 8 7 13 9 5 1 10 11 12 14 18 19 16  
  |  ----   |     ----   |  4 2 6 3 8 7 13 9 5 1 10 11 12 14 18 19  
  |  ----   |     ----   |  4 2 6 3 8 7 13 9 5 1 10 11 12 14 18  
  |  ----   |     ----   |  4 2 6 3 8 7 13 9 5 1 10 11 12 14  
  |  ----   |     ----   |  4 2 6 3 8 7 13 9 5 1 10 11 12  
  |  ----   |     ----   |  4 2 6 3 8 7 13 9 5 1 10 11  
  |  ----   |     ----   |  4 2 6 3 8 7 13 9 5 1 10  
  |    17   |       20   |  4 2 6 3 8 7 13 9 5 1 10 17  
  |  ----   |     ----   |  4 2 6 3 8 7 13 9 5 1 10  
  |  ----   |     ----   |  4 2 6 3 8 7 13 9 5 1  
  |  ----   |     ----   |  4 2 6 3 8 7 13 9 5  
  |  ----   |     ----   |  4 2 6 3 8 7 13 9  
  |  ----   |     ----   |  4 2 6 3 8 7 13  
  |  ----   |     ----   |  4 2 6 3 8 7  
  |  ----   |     ----   |  4 2 6 3 8  
  |  ----   |     ----   |  4 2 6 3  
  |  ----   |     ----   |  4 2 6  
  |  ----   |     ----   |  4 2  
  |  ----   |     ----   |  4  





 9| Вершина |  BFS-номер |           Вміст черги        |
--|---------|------------|------------------------------|
  |     9   |        1   | 9  
  |     2   |        2   | 9 2  
  |     5   |        3   | 9 2 5  
  |    10   |        4   | 9 2 5 10  
  |    13   |        5   | 9 2 5 10 13  
  |    14   |        6   | 9 2 5 10 13 14  
  |  ----   |     ----   | 2 5 10 13 14  
  |     4   |        7   | 2 5 10 13 14 4  
  |     6   |        8   | 2 5 10 13 14 4 6  
  |    11   |        9   | 2 5 10 13 14 4 6 11  
  |    18   |       10   | 2 5 10 13 14 4 6 11 18  
  |  ----   |     ----   | 5 10 13 14 4 6 11 18  
  |     1   |       11   | 5 10 13 14 4 6 11 18 1  
